Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
NIRISS,NIS_WFSS128C3,NIS_CNTR,SUBARRAY,QUAD,2048,2048,300.00,64.50,2048,128,1749.00,64.50,,,-338.096763,-634.501728,-0.569986,-1,180.0,1,-90.306461,-0.569986,-114.3092,19.5799,19.5814,-114.3141,-4.7801,-4.0972,4.3200,3.6419,2014-01-01,
NIRISS,NIS_SUB64,NIS_CNTR,SUBARRAY,QUAD,2048,2048,32.50,32.50,64,64,32.50,32.50,,,-355.606946,-632.472638,-0.569986,-1,180.0,1,-90.306461,-0.569986,-2.0926,2.0917,2.0927,-2.0918,-2.1158,-2.0918,2.1158,2.0919,2014-01-01,
NIRISS,NIS_SUB128,NIS_CNTR,SUBARRAY,QUAD,2048,2048,64.50,64.50,128,128,64.50,64.50,,,-353.493418,-634.567763,-0.569986,-1,180.0,1,-90.306461,-0.569986,-4.1848,4.1835,4.1853,-4.1836,-4.2325,-4.1842,4.2325,4.1848,2014-01-01,
NIRISS,NIS_SUB256,NIS_CNTR,SUBARRAY,QUAD,2048,2048,128.50,128.50,256,256,128.50,128.50,,,-349.266714,-638.759206,-0.569986,-1,180.0,1,-90.306461,-0.569986,-8.3684,8.3669,8.3700,-8.3675,-8.4678,-8.3711,8.4683,8.3734,2014-01-01,
NIRISS,NIS_SUBAMPCAL,NIS_CNTR,SUBARRAY,QUAD,2048,2048,1024.50,1024.50,512,1792,1024.50,1024.50,,,-290.100000,-697.500000,-0.569986,-1,180.0,1,-90.306461,-0.569986,-67.0017,-33.4959,-33.4890,-66.9891,-67.6514,-67.5502,50.4833,50.3573,2014-01-01,
NIRISS,NIS_SUBSTRIP96,NIS_CNTR,SUBARRAY,QUAD,2048,2048,94.00,850.00,2098,317,1980.00,258.00,,,-351.046558,-686.283309,-0.569986,-1,180.0,1,-90.306461,-0.569986,-129.4293,7.7425,7.7449,-129.4436,-17.5805,-16.9199,3.9680,3.3124,2014-01-01,
NIRISS,NIS_SUBSTRIP256,NIS_CNTR,SUBARRAY,QUAD,2048,2048,94.00,850.00,2098,477,1980.00,258.00,,,-351.046558,-686.283309,-0.569986,-1,180.0,1,-90.306461,-0.569986,-129.4293,7.7425,7.7457,-129.4513,-17.5805,-16.9199,14.5139,13.8609,2014-01-01,
NIRISS,NIS_FP1MIMF,NIS_CNTR,FULLSCA,QUAD,2048,2048,1024.00,1036.00,2048,2048,1025.00,1013.00,,,-290.125160,-698.257909,-0.569986,-1,180.0,1,-90.306461,-0.569986,-67.0343,66.9131,66.9005,-67.0217,-66.8945,-66.3349,68.6729,68.0005,2014-01-01,
NIRISS,NIS_FP2MIMF,NIS_CNTR,FULLSCA,QUAD,2048,2048,330.00,1392.00,2048,2048,1719.00,657.00,,,-335.264093,-721.936626,-0.569986,-1,180.0,1,-90.306461,-0.569986,-112.4000,21.5145,21.5272,-112.4787,-43.6966,-43.1155,91.9267,91.2861,2014-01-01,
NIRISS,NIS_FP3MIMF,NIS_AMI,FULLSCA,QUAD,2048,2048,1965.00,1852.00,2048,2048,84.00,197.00,,,-228.039163,-751.618338,-0.569986,-1,180.0,1,-90.306461,-0.569986,-5.4564,128.5272,128.7223,-5.4254,-12.9521,-12.4191,122.6497,122.0343,2014-01-01,
