Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
MIRI,MIRIM_TA1140_UL,,ROI,QUAD,1032,1024,62.50,414.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_UR,,ROI,QUAD,1032,1024,174.50,411.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_LL,,ROI,QUAD,1032,1024,57.50,300.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_LR,,ROI,QUAD,1032,1024,170.50,296.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CUL,,ROI,QUAD,1032,1024,104.50,370.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CUR,,ROI,QUAD,1032,1024,137.50,369.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CLL,,ROI,QUAD,1032,1024,101.50,340.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1140_CLR,,ROI,QUAD,1032,1024,133.50,338.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_UL,,ROI,QUAD,1032,1024,61.50,191.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_UR,,ROI,QUAD,1032,1024,176.50,188.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_LL,,ROI,QUAD,1032,1024,57.50,78.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_LR,,ROI,QUAD,1032,1024,170.50,73.50,64,64,32.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_CUL,,ROI,QUAD,1032,1024,104.50,148.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_CUR,,ROI,QUAD,1032,1024,135.50,145.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_CLL,,ROI,QUAD,1032,1024,101.50,117.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TA1065_CLR,,ROI,QUAD,1032,1024,133.50,115.50,16,16,8.50,8.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TAFULL,,ROI,QUAD,1032,1024,693.50,512.50,1032,1024,693.50,512.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TAILLUM,,ROI,QUAD,1032,1024,693.50,512.50,668,1024,334.50,512.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TABRIGHTSKY,,ROI,QUAD,1032,1024,712.50,306.50,512,512,256.50,256.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TASUB256,,ROI,QUAD,1032,1024,540.50,178.50,256,256,128.50,128.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TASUB128,,ROI,QUAD,1032,1024,70.50,952.50,136,128,70.50,64.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TASUB64,,ROI,QUAD,1032,1024,38.50,810.50,72,64,38.50,32.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_TASLITLESSPRISM,,ROI,QUAD,1032,1024,38.5,912.5,64,64,32.5,32.5,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_CORON1065,,ROI,QUAD,1032,1024,120.00,132.00,216,216,109.00,108.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_CORON1140,,ROI,QUAD,1032,1024,119.50,354.50,216,216,108.50,107.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_CORON1550,,ROI,QUAD,1032,1024,119.50,575.00,216,216,108.50,107.00,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_CORONLYOT,,ROI,QUAD,1032,1024,142.50,884.50,272,272,137.50,136.50,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_FP1MIMF,,FULLSCA,QUAD,1032,1024,511.00,510.00,1032,1024,,,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_FP2MIMF,,FULLSCA,QUAD,1032,1024,924.00,100.00,1032,1024,,,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_FP3MIMF,,FULLSCA,QUAD,1032,1024,375.00,100.00,1032,1024,,,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_FP4MIMF,,FULLSCA,QUAD,1032,1024,374.00,924.00,1032,1024,,,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_FP5MIMF,,FULLSCA,QUAD,1032,1024,765.00,761.00,1032,1024,,,,,,,,-1,0,1,,,,,,,,,,,2014-01-01,
MIRI,MIRIM_SLIT,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_CHANNEL1A,,COMPOUND,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE01,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE02,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE03,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE04,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE05,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE06,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE07,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE08,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE09,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE10,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE11,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE12,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE13,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE14,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE15,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE16,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE17,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE18,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE19,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE20,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1ASLICE21,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_CHANNEL1B,,COMPOUND,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE01,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE02,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE03,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE04,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE05,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE06,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE07,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE08,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE09,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE10,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE11,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE12,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE13,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE14,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE15,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE16,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE17,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE18,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE19,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE20,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1BSLICE21,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_CHANNEL1C,,COMPOUND,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE01,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE02,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE03,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE04,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE05,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE06,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE07,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE08,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE09,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE10,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE11,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE12,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE13,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE14,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
MIRI,MIRIFU_1CSLICE15,,SLIT,QUAD,,,,,,,,,,,,,,-1,,,,,,,,,,,,,2014-01-01,
