Aperture Basic Info					Detector Frame				Science Frame						V-Frame		Frame Relationships						Vertices										Science to Ideal Polynomial
InstrName	AperName	DDCName	AperType	AperShape	XDetSize	YDetSize	XDetRef	YDetRef	XSciSize	YSciSize	XSciRef	YSciRef	XSciScale	YSciScale	V2Ref	V3Ref	V3IdlYAngle	VIdlParity	DetSciYAngle	DetSciParity	V3SciXAngle	V3SciYAngle	XIdlVert1	XIdlVert2	XIdlVert3	XIdlVert4	YIdlVert1	YIdlVert2	YIdlVert3	YIdlVert4	UseAfterDate	Comment	Sci2IdlDeg	Sci2IdlX00	Sci2IdlX10	Sci2IdlX11	Sci2IdlX20	Sci2IdlX21	Sci2IdlX22	Sci2IdlX30	Sci2IdlX31	Sci2IdlX32	Sci2IdlX33	Sci2IdlX40	Sci2IdlX41	Sci2IdlX42	Sci2IdlX43	Sci2IdlX44	Sci2IdlX50	Sci2IdlX51	Sci2IdlX52	Sci2IdlX53	Sci2IdlX54	Sci2IdlX55	Sci2IdlY00	Sci2IdlY10	Sci2IdlY11	Sci2IdlY20	Sci2IdlY21	Sci2IdlY22	Sci2IdlY30	Sci2IdlY31	Sci2IdlY32	Sci2IdlY33	Sci2IdlY40	Sci2IdlY41	Sci2IdlY42	Sci2IdlY43	Sci2IdlY44	Sci2IdlY50	Sci2IdlY51	Sci2IdlY52	Sci2IdlY53	Sci2IdlY54	Sci2IdlY55	Idl2SciX00	Idl2SciX10	Idl2SciX11	Idl2SciX20	Idl2SciX21	Idl2SciX22	Idl2SciX30	Idl2SciX31	Idl2SciX32	Idl2SciX33	Idl2SciX40	Idl2SciX41	Idl2SciX42	Idl2SciX43	Idl2SciX44	Idl2SciX50	Idl2SciX51	Idl2SciX52	Idl2SciX53	Idl2SciX54	Idl2SciX55	Idl2SciY00	Idl2SciY10	Idl2SciY11	Idl2SciY20	Idl2SciY21	Idl2SciY22	Idl2SciY30	Idl2SciY31	Idl2SciY32	Idl2SciY33	Idl2SciY40	Idl2SciY41	Idl2SciY42	Idl2SciY43	Idl2SciY44	Idl2SciY50	Idl2SciY51	Idl2SciY52	Idl2SciY53	Idl2SciY54	Idl2SciY55
NIRISS	NIS_CEN_OSS	NIS_CNTR	OSS	QUAD	2048	2048	1024.50	1024.50	2048	2048	1024.50	1024.50	0.06539852	0.06589325	-290.100000	-697.500000	-0.569986	1	0.0	1	89.693539	179.430014	-66.9330	66.9886	67.0017	-66.9461	67.9140	67.2415	-67.6514	-67.0919	2014-01-01		4	0.00000000000000E+00	6.53978276341094E-02	1.27935856353290E-17	2.39129597961861E-08	6.22730716867091E-09	2.59778655874485E-09	-2.61115593876507E-12	5.93911090690680E-12	-8.47283218594369E-12	6.73520668119089E-13	-1.69074530919217E-15	-8.33289379437717E-15	-1.56059465712905E-15	-7.55580226884643E-15	-2.23237356562092E-16							0.00000000000000E+00	-3.00792114051833E-04	-6.58932484197081E-02	4.91295836590685E-08	2.69395371677396E-08	4.38279316917477E-09	-1.18625653282466E-12	1.43185987211314E-11	-1.54612611575204E-12	2.88127212473818E-11	-1.55697756036920E-15	-8.99985127025422E-16	-9.38318506188195E-15	-2.30488055784124E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52910324680727E+01	-6.93274211686357E-05	-8.19558540777874E-05	1.95111839248874E-05	-8.86156733710157E-06	1.46309427037166E-07	3.26199275807527E-07	4.48333315741207E-07	3.45897794591972E-08	1.37558803541158E-09	-6.82868107772121E-09	1.04293498685182E-09	-5.99283789214357E-09	-9.98917715025513E-11							0.00000000000000E+00	-6.98760068232769E-02	-1.51761535575783E+01	1.74756139399830E-04	-9.50725489764591E-05	1.39961967047717E-05	-6.51874134956909E-08	-7.61581957565011E-07	-1.03233681861025E-07	-1.49467718565118E-06	-1.27574449362868E-09	7.78973270137186E-10	-7.33612943690384E-09	-1.81798644252701E-10	-1.37896323183342E-08
NIRISS	NIS_CEN	NIS_CNTR	FULLSCA	QUAD	2048	2048	1024.50	1024.50	2048	2048	1024.50	1024.50	0.06539852	0.06589325	-290.100000	-697.500000	-0.569986	-1	180.0	1	-90.306461	-0.569986	-67.0017	66.9461	66.9330	-66.9886	-67.6514	-67.0919	67.9140	67.2415	2014-01-01		4	0.00000000000000E+00	6.53978276341094E-02	0.00000000000000E+00	-2.39129597961861E-08	-6.22730716867092E-09	-2.59778655874485E-09	-2.61115593876507E-12	5.93911090690680E-12	-8.47283218594369E-12	6.73520668119095E-13	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	3.00792114051846E-04	6.58932484197081E-02	4.91295836590685E-08	2.69395371677396E-08	4.38279316917477E-09	1.18625653282466E-12	-1.43185987211314E-11	1.54612611575203E-12	-2.88127212473818E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52910324680727E+01	6.93274211716055E-05	8.19558540777874E-05	1.95111839248874E-05	8.86156733710158E-06	1.46309427037167E-07	-3.26199275807527E-07	4.48333315741207E-07	-3.45897794591971E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.98760068232799E-02	1.51761535575783E+01	-1.74756139399830E-04	-9.50725489764592E-05	-1.39961967047717E-05	-6.51874134956910E-08	7.61581957565011E-07	-1.03233681861025E-07	1.49467718565118E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_AMI1	NIS_AMI	SUBARRAY	QUAD	2048	2048	959.00	2008.00	80	80	46.00	41.00	0.06538534	0.06586911	-293.735317	-762.311788	-0.569986	-1	180.0	1	-90.306461	-0.569986	-2.9754	2.2553	2.2561	-2.9748	-2.6803	-2.6578	2.6118	2.5891	2014-01-01		4	0.00000000000000E+00	6.53847315031560E-02	8.34932028448923E-06	-3.03245215950708E-08	3.28474520966506E-08	-5.29791400190873E-09	-1.03635817145267E-11	4.50683484692907E-12	-3.05617888800912E-11	2.90209956013250E-13	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	2.82931234856799E-04	6.58691135675802E-02	5.45027805458405E-08	2.43619347491091E-08	-1.19890360524456E-08	1.66346378443743E-12	3.96127921812990E-12	3.84934373504596E-13	3.99532543452591E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52941550453746E+01	-2.11451263587811E-03	1.06115456254442E-04	-1.16007280405577E-04	2.49811968898234E-05	5.65070183340051E-07	-2.78770293263848E-07	1.60391781783313E-06	-8.61193469266643E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.57622562494463E-02	1.51814270852978E+01	-1.94651772447516E-04	-8.55604183275465E-05	4.25295859722670E-05	-9.38032489656314E-08	-1.78773966788423E-07	-5.11152611913004E-09	-2.07885213648154E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_AMI2	NIS_AMI	SUBARRAY	QUAD	2048	2048	987.00	1991.00	80	80	18.00	58.00	0.06538755	0.06586806	-291.915797	-761.181751	-0.569986	-1	180.0	1	-90.306461	-0.569986	-1.1447	4.0860	4.0868	-1.1441	-3.7921	-3.7696	1.4998	1.4772	2014-01-01		4	0.00000000000000E+00	6.53869507816295E-02	7.28202198121508E-06	-2.93808596332008E-08	3.15791469978438E-08	-4.43656229136195E-09	-1.04112859946518E-11	3.85993198654378E-12	-3.02638362651792E-11	9.38276327317730E-14	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	2.80293737086314E-04	6.58680606115134E-02	5.44216407504905E-08	2.41689197176176E-08	-9.99983258031748E-09	1.82254552403935E-12	3.71784967669605E-12	9.09217247885487E-13	3.87652395695480E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52936462870633E+01	-1.85429706438730E-03	1.02714873446807E-04	-1.11502267375841E-04	2.17915285681703E-05	5.67550500663574E-07	-2.43586327646029E-07	1.58774639648363E-06	-7.47041617400902E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.51449802345283E-02	1.51816701324250E+01	-1.94305413553197E-04	-8.49698053441482E-05	3.57326197052399E-05	-1.02278997138563E-07	-1.66738296087034E-07	-3.25780194528858E-08	-2.01718961716881E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_AMI3	NIS_AMI	SUBARRAY	QUAD	2048	2048	987.00	2024.00	80	80	18.00	25.00	0.06538647	0.06586885	-291.893929	-763.355299	-0.569986	-1	180.0	1	-90.306461	-0.569986	-1.1444	4.0863	4.0870	-1.1439	-1.6186	-1.5961	3.6737	3.6510	2014-01-01		4	0.00000000000000E+00	6.53858754409280E-02	7.57510953739757E-06	-2.95065379011751E-08	3.36012449973579E-08	-4.44439259411462E-09	-1.06862714898662E-11	3.75693273917326E-12	-3.10118606897950E-11	6.43603016655762E-14	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	2.79497153701521E-04	6.58688497592590E-02	5.42887334226271E-08	2.41088360788093E-08	-1.39518075531377E-08	1.85224503323119E-12	4.33713989078026E-12	9.11499079637749E-13	4.10726386692434E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52938961675922E+01	-1.95006567986168E-03	1.03238990934691E-04	-1.18489531161301E-04	2.22811055366658E-05	5.82395068845875E-07	-2.39047337082747E-07	1.62682605335977E-06	-7.55712149627700E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.49603418989579E-02	1.51814856533324E+01	-1.93908243333144E-04	-8.48306578752828E-05	4.92775890227723E-05	-1.03973469806055E-07	-1.98631346299533E-07	-3.13961118306326E-08	-2.13708536778474E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_AMI4	NIS_AMI	SUBARRAY	QUAD	2048	2048	945.00	2025.00	80	80	60.00	24.00	0.06538392	0.06586990	-294.639400	-763.436650	-0.569986	-1	180.0	1	-90.306461	-0.569986	-3.8906	1.3401	1.3409	-3.8900	-1.5646	-1.5421	3.7277	3.7050	2014-01-01		4	0.00000000000000E+00	6.53833068492380E-02	9.00509584400121E-06	-3.08399185773084E-08	3.40227092302923E-08	-5.74528162667757E-09	-1.04105591717163E-11	4.80375616795053E-12	-3.09034381454027E-11	3.80811047530878E-13	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	2.84042279706550E-04	6.58698978978489E-02	5.45014041213655E-08	2.44681464161274E-08	-1.40533964238775E-08	1.59157278821619E-12	4.24250813489882E-12	1.23380680856401E-13	4.11415918042483E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52944827347937E+01	-2.28028993852050E-03	1.07990726096345E-04	-1.20132184963861E-04	2.67556606077302E-05	5.67653800895529E-07	-2.95192270703690E-07	1.62206942298743E-06	-9.20500070253348E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.60229469312432E-02	1.51812458734090E+01	-1.94696689547140E-04	-8.59049383534070E-05	4.95934501991430E-05	-9.00020446002592E-08	-1.93006642862341E-07	8.92550806074492E-09	-2.14056511017116E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_AMITA	NIS_AMI	SUBARRAY	QUAD	2048	2048	963.00	1936.00	64	64	32.00	33.00	0.06538780	0.06586789	-293.521522	-757.568036	-0.569986	-1	180.0	1	-90.306461	-0.569986	-2.0599	2.1248	2.1253	-2.0595	-2.1495	-2.1314	2.0842	2.0660	2014-01-01		4	0.00000000000000E+00	6.53871803740101E-02	7.47708622736097E-06	-2.98746136915037E-08	2.85266098298843E-08	-5.11254116479677E-09	-9.79066528627859E-12	4.63156575202313E-12	-2.89422203472774E-11	3.24279105627749E-13	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	2.84249443388360E-04	6.58678847752496E-02	5.47200167700758E-08	2.43960828400296E-08	-3.90451020146664E-09	1.62357649625751E-12	2.62090039074320E-12	4.55021311994715E-13	3.49190212320552E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52935858523233E+01	-1.85699535581843E-03	1.04352631711485E-04	-1.01052579166922E-04	2.33732880733954E-05	5.34128712380993E-07	-2.83313883840440E-07	1.51921902092758E-06	-8.26608657787852E-08	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-6.60661297856720E-02	1.51817183982113E+01	-1.95263417287824E-04	-8.55639910764554E-05	1.48221550921161E-05	-9.14415792576712E-08	-1.09816932899774E-07	-1.15265458360122E-08	-1.81727655975037E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_SOSSTA	NIS_CNTR	SUBARRAY	QUAD	2048	2048	94.00	850.00	64	64	33.00	33.00	0.06535764	0.06590138	-351.046558	-686.283309	-0.569986	-1	180.0	1	-90.306461	-0.569986	-2.1242	2.0586	2.0588	-2.1240	-2.1544	-2.1294	2.0882	2.0633	2014-01-01		4	0.00000000000000E+00	6.53564813903030E-02	3.58315836864636E-06	-1.72756235028580E-08	2.52167916151903E-08	-5.05661513113137E-09	5.13588806916700E-12	2.97450314692487E-11	-1.61310304128542E-12	7.86001435416104E-12	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	3.89444378082239E-04	6.59013838807710E-02	4.11298355105225E-08	-7.60186108880742E-09	-2.05911453182898E-08	-4.76586135153544E-12	-2.01056387898197E-11	-1.59280473341306E-11	-4.10354149154223E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.53002894219655E+01	-8.91648863184898E-04	5.93788916082046E-05	-9.08969719942905E-05	1.82023013219421E-05	-2.69141035616159E-07	-1.59706546244095E-06	1.08896038445804E-07	-3.94421992305187E-07	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-9.05287712823855E-02	1.51742394324150E+01	-1.46617221513196E-04	2.48191913421393E-05	7.10556029969260E-05	2.54446088631633E-07	1.07720312183130E-06	7.82860657814782E-07	2.13572587505574E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
NIRISS	NIS_WFSS_OFFSET	NIS_CNTR	FULLSCA	QUAD	2048	2048	1026.50	1027.90	2048	2048	1022.50	1021.10	0.06539863	0.06589316	-289.966976	-697.723326	-0.569986	-1	180.0	1	-90.306461	-0.569986	-66.8709	67.0769	67.0639	-66.8579	-67.4270	-66.8675	68.1391	67.4664	2014-01-01		4	0.00000000000000E+00	6.53979444095218E-02	3.00507782812218E-08	-2.39172572282419E-08	-6.19304387531124E-09	-2.58753494069981E-09	-2.65301374013949E-12	5.87850150047206E-12	-8.55614374771444E-12	6.55373035532158E-13	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	3.00503839187520E-04	6.58931637051802E-02	4.91709851587460E-08	2.69860310832492E-08	4.67234023738557E-09	1.20177230273950E-12	-1.42493931519484E-11	1.58389395381646E-12	-2.85749431213172E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14
NIRISS	NIS_WFSS64	NIS_CNTR	SUBARRAY	QUAD	2048	2048	32.50	32.50	2048	2048	2016.50	2016.50	0.06538235	0.06574504	-355.606946	-632.472638	-0.569986	-1	180.0	1	-90.306461	-0.569986	-131.5594	2.1270	2.0927	-131.7689	-133.3110	-132.4569	2.1158	1.4214	2014-01-01		4	0.00000000000000E+00	6.53812775738232E-02	1.40065096976113E-05	1.03266751186529E-08	4.17951713046923E-08	1.61615445297523E-08	1.23639520921316E-11	3.38340226387173E-11	1.71094551658873E-11	9.05468234965315E-12	1.69074530919217E-15	8.33289379437717E-15	1.56059465712905E-15	7.55580226884643E-15	2.23237356562096E-16							0.00000000000000E+00	3.74774560684103E-04	6.57450376794192E-02	1.73722562567302E-08	-3.80606403718378E-08	-1.92342188536865E-07	-5.88461567272954E-12	-3.56131936219328E-11	-1.71387062924231E-11	-9.81974010230556E-11	-1.55697756036920E-15	-8.99985127025421E-16	-9.38318506188195E-15	-2.30488055784110E-17	-1.74802962098135E-14							0.00000000000000E+00	1.52945041316966E+01	-2.85706033041997E-03	-3.74770366247546E-05	-1.45401181394135E-04	-4.72578214043338E-05	-6.59034735340580E-07	-1.79184997826055E-06	-8.67702929488991E-07	-3.97024266742407E-07	-1.37558803541158E-09	-6.82868107772121E-09	-1.04293498685182E-09	-5.99283789214358E-09	9.98917715025502E-11							0.00000000000000E+00	-8.74773772046170E-02	1.52095527332400E+01	-6.36272004477190E-05	1.22626336718081E-04	6.59210263031061E-04	3.16935180787252E-07	1.87675954909307E-06	8.12542977816462E-07	5.10546713020333E-06	1.27574449362868E-09	7.78973270137184E-10	7.33612943690384E-09	-1.81798644252709E-10	1.37896323183342E-08
