,xSci offset,ySci offset,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44
NIS_WFSS64R,992.0,-228.5,64.8,6.534201609369E-02,1.339683921077E-05,-2.864305610860E-08,3.379681943877E-08,-1.49969E-08,2.19366E-12,3.00246E-11,-1.05561E-11,7.96484E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-14.7,3.95739E-04,6.59028E-02,4.68608E-08,3.67194E-09,1.09736E-08,-4.78618E-12,-1.27088E-11,-1.70543E-11,-1.28586E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS64R3,992.0,724.5,64.9,6.537117702610E-02,7.286748505779E-06,1.387744364230E-09,3.426360741924E-08,8.99101E-09,1.01349E-11,3.29991E-11,1.10459E-11,8.81582E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,48.1,3.83730E-04,6.58282E-02,2.62274E-08,-2.88964E-08,-1.21044E-07,-5.64387E-12,-3.05932E-11,-1.71202E-11,-7.94935E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS64C,-228.5,992.0,-14.9,6.539902728890E-02,-1.754531793231E-06,-1.983252476570E-08,-3.555135944806E-09,-2.39585E-09,4.10973E-12,3.32313E-12,1.33000E-11,-1.67174E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,65.3,3.17394E-04,6.57401E-02,2.50029E-08,4.48493E-08,-1.85402E-07,1.71655E-12,-3.23179E-11,5.76565E-12,-9.81693E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS64C3,724.5,992.0,47.4,6.537827750454E-02,5.087834762102E-06,1.130503928903E-09,2.548278108770E-08,1.16964E-08,1.05549E-11,2.71469E-11,1.62745E-11,7.03351E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,65.6,3.64336E-04,6.57527E-02,2.14262E-08,-1.92008E-08,-1.88429E-07,-4.21865E-12,-3.48910E-11,-1.21187E-11,-9.81912E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS128,944.5,944.5,61.8,6.537858168856E-02,1.069697307836E-05,7.040508701374E-09,3.707717189151E-08,1.41162E-08,1.16469E-11,3.24983E-11,1.58845E-11,8.65337E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,62.5,3.74696E-04,6.57643E-02,1.98541E-08,-3.31401E-08,-1.77793E-07,-5.54604E-12,-3.45935E-11,-1.62440E-11,-9.48750E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS128R,960.0,-228.5,62.8,6.534385576658E-02,1.234581313821E-05,-2.884325907017E-08,3.190084297934E-08,-1.46575E-08,1.97724E-12,2.92247E-11,-1.06560E-11,7.72305E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-14.7,3.92726E-04,6.59027E-02,4.73107E-08,4.48254E-09,1.15097E-08,-4.58689E-12,-1.26224E-11,-1.64538E-11,-1.28579E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS128R3,960.0,724.5,62.8,6.537111912327E-02,6.223831099104E-06,4.251816152048E-10,3.217726338116E-08,8.63913E-09,9.91849E-12,3.21991E-11,1.09460E-11,8.57403E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,48.1,3.82034E-04,6.58291E-02,2.67596E-08,-2.69412E-08,-1.20505E-07,-5.44458E-12,-3.05068E-11,-1.65197E-11,-7.94927E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS128C,-228.5,960.0,-14.9,6.539915442491E-02,-1.601740078705E-06,-1.993726694111E-08,-4.383127311138E-09,-2.37843E-09,3.84308E-12,3.22325E-12,1.25747E-11,-1.95749E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,63.1,3.15965E-04,6.57516E-02,2.60275E-08,4.44802E-08,-1.76085E-07,1.74535E-12,-3.17174E-11,5.76786E-12,-9.59318E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_WFSS128C3,724.5,960.0,47.4,6.537747847309E-02,4.360840553285E-06,2.634019660321E-10,2.446442214271E-08,1.10226E-08,1.02882E-11,2.70470E-11,1.55492E-11,7.00493E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,63.5,3.64938E-04,6.57644E-02,2.25331E-08,-1.84253E-08,-1.79110E-07,-4.18985E-12,-3.42904E-11,-1.21165E-11,-9.59538E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SUB64,992.0,992.0,64.9,6.538127757382E-02,1.400650969761E-05,1.032667511865E-08,4.179517130469E-08,1.61615E-08,1.23640E-11,3.38340E-11,1.71095E-11,9.05468E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,65.7,3.74775E-04,6.57450E-02,1.73723E-08,-3.80606E-08,-1.92342E-07,-5.88462E-12,-3.56132E-11,-1.71387E-11,-9.81974E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
